,epoch,time,train_auc,test_auc
0,0,1.6455726623535156,0.6144043538878907,0.5957263783112643
1,100,6.781913757324219,0.18533778549314883,0.8184231534922837
2,200,11.679039001464844,0.3514569607353926,0.6549205948937595
3,300,16.641613721847534,0.5672402635057859,0.651128593595694
4,400,21.56380033493042,0.4837797359246414,0.5833939919719829
5,500,26.450833797454834,0.33591640736663847,0.5655094897000544
6,600,31.474669694900513,0.5587383774153699,0.6015595082991096
7,700,36.46421027183533,0.503645899757684,0.40431150981463465
8,800,41.36957359313965,0.663818919326633,0.2992444434407855
9,900,46.267996311187744,0.6079883755580677,0.45868129457787876
10,1000,51.14886951446533,0.4401497279671332,0.5995283221059441
11,1100,56.14464211463928,0.5402100799713068,0.6117364115553766
12,1200,61.02659749984741,0.5933028880224229,0.38811894655118734
13,1300,65.93614554405212,0.43360333348604485,0.36059312899255014
14,1400,70.84610152244568,0.26402928975937207,0.6409006710087463
15,1500,75.76191997528076,0.2713353569672978,0.715421324532917
16,1600,80.71352863311768,0.45469444747115917,0.5951432210887149
17,1700,85.68205308914185,0.5391024623081149,0.5168415646959614
18,1800,90.63379406929016,0.4114735619218373,0.4580128158885905
19,1900,95.58636116981506,0.20471443410683782,0.5453208791801611
